scenario,condition,protocol_seed,bsc,query_index,target_id,target_present,candidate_original_id,candidate_cosine,cache_reuse,verifier_good,bad_reuse,identity_match,audit_mismatches,audit_boundary,protocol_bits,fallback_bits,completion_bits
full,paired_iid,13181815969110816250,0.0,39,1000821,1,1000821,0.9274018127828914,1,1,0,1,90,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,40,1000860,1,1000860,0.8538473461575598,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,41,1000864,1,1000864,0.8260301401265813,1,1,0,1,121,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,42,1000870,1,1000870,0.8643781991319897,1,1,0,1,140,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,43,1000878,1,1000878,0.9937457596932886,1,1,0,1,24,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,44,1000889,1,1000889,0.9224384322979854,1,1,0,1,90,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,45,1000890,1,1000890,0.7769177433959848,0,1,0,1,155,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,46,1000908,1,1000908,0.9366717703144054,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,47,1001052,1,1001052,0.9221764092885252,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,48,1001071,1,1002343,0.7601355354405464,0,0,0,0,178,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,49,1001107,1,1001107,0.8732171754149642,1,1,0,1,128,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,50,1001133,1,1001133,0.8662016607012175,0,1,0,1,144,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,51,1001146,1,1001146,0.9446469610888708,1,1,0,1,85,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,52,1001159,1,1001159,0.9489449878627128,1,1,0,1,76,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,53,1001168,1,1001168,0.9571179888451329,1,1,0,1,74,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,54,1001172,1,1001172,0.9352159564355309,1,1,0,1,95,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,55,1001175,1,1002469,0.7678085960095219,0,0,0,0,158,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,56,1001184,1,1001184,0.8966659573158635,1,1,0,1,127,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,57,1001190,1,1001190,0.9318292679597828,1,1,0,1,87,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,58,1001193,1,1001193,0.8849417782227761,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,59,1001218,1,1001218,0.8825509439210586,1,1,0,1,115,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,60,1001252,1,1001252,0.8920813449733059,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,61,1001266,1,1001266,0.8997938552065758,1,1,0,1,121,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,62,1001267,1,1001267,0.8967794543619176,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,63,1001268,1,1001268,0.907771488641645,1,1,0,1,88,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,64,1001274,1,1001274,0.9586509573273324,1,1,0,1,82,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,65,1001300,1,1001300,0.8954213539633149,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,66,1001341,1,1001341,0.9280842683429051,1,1,0,1,88,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,67,1001361,1,1001361,0.9227600573928663,1,1,0,1,105,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,68,1001408,1,1001408,0.8885566102743334,1,1,0,1,113,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,69,1001414,1,1001414,0.8764382593994646,1,1,0,1,136,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,70,1001415,1,1001415,0.9329543769721471,1,1,0,1,96,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,71,1001429,1,1001429,0.9926401077504712,1,1,0,1,26,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,72,1001460,1,1001460,0.9117411978258265,1,1,0,1,103,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,73,1001470,1,1001470,0.9220704555856921,1,1,0,1,99,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,74,1001485,1,1001485,0.9768346670583553,1,1,0,1,49,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,75,1001487,1,1001487,0.9465331989495058,1,1,0,1,85,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,76,1001492,1,1001492,0.8855417131913782,1,1,0,1,111,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,77,1001498,1,1001498,0.8503647644115849,1,1,0,1,128,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,78,1001515,1,1001515,0.9081702303895509,1,1,0,1,114,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,79,1001538,1,1001538,0.8419214761147469,0,1,0,1,150,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,80,1001548,1,1001548,0.9626977434920461,1,1,0,1,78,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,81,1001558,1,1001558,0.896603008715728,1,1,0,1,115,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,82,1001634,1,1001634,0.9589503706156938,1,1,0,1,80,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,83,1001665,1,1001665,0.8805306801803492,1,1,0,1,127,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,84,1001676,1,1001676,0.8546197948568675,0,1,0,1,148,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,85,1001707,1,1001707,0.8852495344921977,1,1,0,1,116,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,86,1001744,1,1001744,0.871001121852369,1,1,0,1,125,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,87,1001746,1,1001746,0.8715820680186935,0,1,0,1,156,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,88,1001771,1,1001771,0.8559526783485365,1,1,0,1,132,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,89,1001772,1,1001772,0.7806701013868907,0,1,0,1,163,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,90,1001781,1,1001781,0.8678319332807232,1,1,0,1,124,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,91,1001793,1,1001793,0.8734366958580828,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,92,1001813,1,1001813,0.8494064761541416,1,1,0,1,129,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,93,1001823,1,1001823,0.7781630381119201,0,1,0,1,159,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,94,1001849,1,1001849,0.9087891835817696,1,1,0,1,99,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,95,1001852,1,1001852,0.7756276519753611,0,1,0,1,174,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,96,1001868,1,1001868,0.8824859587480497,1,1,0,1,116,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,97,1001872,1,1001872,0.8755497698111169,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,98,1001890,1,1001890,0.9041399468261369,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,99,1001894,1,1001894,0.9331530713362963,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,100,1001914,1,1001914,0.8837942992324007,1,1,0,1,128,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,101,1001924,1,1001924,0.9235690059961108,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,102,1001944,1,1001944,0.8733528168407568,1,1,0,1,127,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,103,1001954,1,1001954,0.940965644267006,1,1,0,1,67,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,104,1001958,1,1001958,0.77600974396133,0,1,0,1,166,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,105,1001959,1,1001959,0.9253553584213254,1,1,0,1,93,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,106,1001960,1,1001960,0.9242742778772671,1,1,0,1,87,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,107,1001987,1,1001987,0.9104390209857879,1,1,0,1,114,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,108,1002102,1,1002102,0.9026796547091078,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,109,1002133,1,1000432,0.6273069723143957,0,0,0,0,215,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,110,1002179,1,1002179,0.9061151935354002,1,1,0,1,121,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,111,1002183,1,1002183,0.8764830743805837,1,1,0,1,105,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,112,1002194,1,1002194,0.9121241768035372,1,1,0,1,96,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,113,1002210,1,1002210,0.8609570590055731,1,1,0,1,125,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,114,1002212,1,1002212,0.915820133362633,1,1,0,1,113,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,115,1002219,1,1002219,0.908685110272414,1,1,0,1,107,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,116,1002233,1,1002233,0.8784952737689633,1,1,0,1,132,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,117,1002237,1,1002237,0.9738550018482147,1,1,0,1,54,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,118,1002305,1,1002305,0.8879455838359984,1,1,0,1,109,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,119,1002339,1,1002339,0.9753169607678096,1,1,0,1,52,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,120,1002343,1,1002343,0.9253755836878221,1,1,0,1,82,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,121,1002345,1,1002345,0.8970244894727541,1,1,0,1,105,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,122,1002416,1,1002416,0.9199667799586726,1,1,0,1,98,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,123,1002446,1,1002446,0.9747890929051293,1,1,0,1,49,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,124,1002470,1,1002470,0.9258013736326212,1,1,0,1,103,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,125,1002503,1,1002503,0.8999440901029597,1,1,0,1,96,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,126,1002505,1,1002505,0.8997853428067344,1,1,0,1,134,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,127,1002516,1,1002516,0.9398339729465677,1,1,0,1,86,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,128,1002587,1,1002587,0.875914919272902,1,1,0,1,131,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,129,1002641,1,1002641,0.9548449744140562,1,1,0,1,79,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,130,1002658,1,1002658,0.908690645145652,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,131,1002665,1,1002665,0.8180410759362622,1,1,0,1,128,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,132,1002704,1,1002704,0.9427451156127028,1,1,0,1,78,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,133,1002740,1,1002740,0.8602549660048973,1,1,0,1,136,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,134,1002752,1,1002752,0.9256352897559449,1,1,0,1,95,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,135,1002756,1,1002756,0.9126326979660884,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,136,1002830,1,1002830,0.8493423117721273,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,137,1002853,1,1002853,0.9276862069705736,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,138,1002857,1,1002857,0.8896727792739619,1,1,0,1,133,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,139,1002866,1,1002866,0.7899180287072166,0,1,0,1,156,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,140,1002888,1,1002888,0.9428688293933971,1,1,0,1,70,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,141,1002901,1,1002901,0.8612331697040122,1,1,0,1,126,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,142,1002939,1,1002939,0.9029305229335565,1,1,0,1,107,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,143,1002962,1,1002962,0.8888832512406415,1,1,0,1,98,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,144,1002992,1,1002992,0.9133397739793763,1,1,0,1,105,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,145,1003007,1,1003007,0.9343115528924957,1,1,0,1,94,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,146,1003012,1,1003012,0.9383754184390866,1,1,0,1,88,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,147,1003066,1,1003066,0.9490626572824694,1,1,0,1,81,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,148,1003070,1,1003070,0.9448165071098213,1,1,0,1,77,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,149,1003079,1,1003079,0.8573757172452889,0,1,0,1,147,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,150,1003090,1,1003090,0.9742373604742642,1,1,0,1,60,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,151,1003095,1,1003095,0.8877206047268147,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,152,1003096,1,1003096,0.912105899169914,1,1,0,1,112,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,153,1003116,1,1003116,0.919212989728432,1,1,0,1,107,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,154,1003128,1,1003128,0.8862229485997923,1,1,0,1,124,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,155,1003142,1,1003142,0.9189571977223688,1,1,0,1,95,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,156,1003148,1,1003148,0.850198926090193,0,1,0,1,152,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,157,1003156,1,1003156,0.8981980567996084,1,1,0,1,106,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,158,1003167,1,1003167,0.922474474051891,1,1,0,1,108,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,159,1003175,1,1003175,0.8617911753731192,1,1,0,1,127,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,160,1003223,1,1003223,0.9573268166411923,1,1,0,1,75,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,161,1003290,1,1003290,0.9074178076796533,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,162,1003293,1,1003293,0.9386061382931222,1,1,0,1,73,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,163,1003316,1,1003316,0.904823941843945,1,1,0,1,91,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,164,1003388,1,1003388,0.8894623194082977,1,1,0,1,108,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,165,1003410,1,1003410,0.941572543304988,1,1,0,1,78,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,166,1003444,1,1003444,0.8561337437338248,0,1,0,1,142,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,167,1003461,1,1003461,0.9110982177375686,1,1,0,1,100,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,168,1003467,1,1003467,0.8813172357491788,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,169,1003475,1,1003475,0.9234196233243108,1,1,0,1,100,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,170,1003499,1,1003499,0.9440502229932097,1,1,0,1,71,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,171,1003502,1,1003502,0.9278282595292889,1,1,0,1,97,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,172,1003511,1,1003511,0.9150331067536377,1,1,0,1,98,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,173,1003533,1,1003533,0.8869216640241828,1,1,0,1,124,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,174,1003558,1,1003558,0.933804064994402,1,1,0,1,90,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,175,1003578,1,1003578,0.894163523176646,1,1,0,1,110,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,176,1003585,1,1003585,0.9037669855603885,1,1,0,1,97,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,177,1003622,1,1003622,0.8458106643713132,1,1,0,1,124,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,178,1003641,1,1003641,0.9352447673836275,1,1,0,1,84,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,179,1003704,1,1003704,0.911330279213415,1,1,0,1,112,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,180,1003722,1,1003722,0.8899525863508252,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,181,1003733,1,1003733,0.939440524530537,1,1,0,1,96,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,182,1003735,1,1003735,0.8718374292000809,1,1,0,1,115,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,183,1003737,1,1003737,0.906218561265242,1,1,0,1,114,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,184,1003746,1,1003746,0.8817544647541997,1,1,0,1,115,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,185,1003749,1,1003749,0.9273004486087906,1,1,0,1,83,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,186,1003799,1,1008803,0.62316943403592,0,0,0,0,210,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,187,1003805,1,1003805,0.9108779882018944,1,1,0,1,97,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,188,1003809,1,1003809,0.9234627643765461,1,1,0,1,95,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,189,1003853,1,1003853,0.9254258563709367,1,1,0,1,100,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,190,1003885,1,1003885,0.8451158231805029,1,1,0,1,136,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,191,1003894,1,1003894,0.9000319561918053,1,1,0,1,113,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,192,1003909,1,1003909,0.879568457048928,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,193,1003941,1,1003941,0.8461162717760402,0,1,0,1,154,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,194,1003947,1,1003947,0.9483079547173761,1,1,0,1,88,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,195,1003976,1,1003976,0.9422028329535913,1,1,0,1,89,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,196,1003978,1,1003885,0.68985028468719,0,0,0,0,199,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,197,1004012,1,1004012,0.8068554021611574,0,1,0,1,147,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,198,1004021,1,1004021,0.9568958181190681,1,1,0,1,74,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,199,1004028,1,1004028,0.9141691166258697,1,1,0,1,101,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,200,1004057,1,1004057,0.8763495643725114,1,1,0,1,125,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,201,1004093,1,1004093,0.8786050805487226,1,1,0,1,121,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,202,1004107,1,1004107,0.9326826357744755,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,203,1004129,1,1004129,0.9105971171232699,1,1,0,1,102,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,204,1004163,1,1004163,0.8294828910454259,1,1,0,1,126,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,205,1004185,1,1004185,0.9218203316559146,1,1,0,1,106,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,206,1004190,1,1004190,0.9360510623949037,1,1,0,1,70,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,207,1004205,1,1004205,0.9226376243057277,1,1,0,1,90,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,208,1004225,1,1004225,0.9206818703515984,1,1,0,1,104,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,209,1004234,1,1004234,0.906407792518445,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,210,1004254,1,1004254,0.9423943480217714,1,1,0,1,83,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,211,1004296,1,1004296,0.9449737602278754,1,1,0,1,91,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,212,1004330,1,1004330,0.9365418158105102,1,1,0,1,92,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,213,1004341,1,1007555,0.6560141721848005,0,0,0,0,233,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,214,1004342,1,1004342,0.8799908519952233,1,1,0,1,117,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,215,1004400,1,1004400,0.8858554731985757,1,1,0,1,119,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,216,1004404,1,1004404,0.8895008029335856,1,1,0,1,118,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,217,1004448,1,1004448,0.91580677800397,1,1,0,1,106,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,218,1004455,1,1004455,0.9475900585256024,1,1,0,1,84,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,219,1004503,1,1004503,0.8829125142256522,1,1,0,1,111,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,220,1004530,1,1004530,0.9007972068683459,1,1,0,1,112,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,221,1004548,1,1000522,0.6788289060548931,0,0,0,0,202,141,1944,4272,6216
full,paired_iid,13181815969110816250,0.0,222,1004551,1,1004551,0.8935224943084832,1,1,0,1,112,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,223,1004556,1,1004556,0.9091779901676585,1,1,0,1,111,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,224,1004558,1,1004558,0.971397533481007,1,1,0,1,52,141,1944,0,1944
full,paired_iid,13181815969110816250,0.0,225,1004564,1,1004564,0.9287266133333283,1,1,0,1,92,141,1944,0,1944
